TAIR ID	UniProt Accession
AT3G54540	A0A178VD97; Q9M1H3; Q8LFD8
AT3G54550	Q9M1H2
AT3G54560	O23628; A0A178V944; Q0WS87
AT3G54570	Q9M1H1
AT3G54580	F4JCZ1
AT3G54590	A0A1I9LMW9; Q9M1G9; Q9CAZ9; F4JCZ2
AT3G54600	Q9M1G8
AT3G54610	A0A178VL29; Q7G1G9; Q9AR19; O22654; Q9M1G7
AT3G54620	F4JDZ5; Q9M1G6; F4JDZ6; Q712N9; Q940H0
AT3G54625	-
AT3G54630	A0A178VEL1; Q9M1G5
AT3G54640	Q8LA83; Q42529; Q0WWE0
AT3G54650	Q8W104; Q9M1T4
AT3G54660	P42770; Q5FV38
AT3G54670	Q0WSY5; Q6Q1P4; F4JE01; F4JE02; Q9M1T3
AT3G54680	Q8L7Z6
AT3G54690	A0A178VFX5; Q9M1T1
AT3G54700	A0A178VJ98; Q494P0; Q9M1T0
AT3G54710	Q9M1S9
AT3G54720	B5X581; Q9M1S8
AT3G54730	P0DKG3; P0DKG2; F4JE11; F4JE12; Q9M1S7; O81438; F4JE10
AT3G54740	Q9M1S6; F4JE14
AT3G54750	F4JE17; A0A1I9LR33; Q8GXI8
AT3G54760	Q9M1S4; F4JE18
AT3G08415	-
AT3G54770	Q8LFQ5; A0A1I9LRF1; Q9M1S3; Q0WLB8; F4JE21
AT3G08420	-
AT3G54780	F4JE22; A0A1I9LN98; F4JE23; F4JE24; A0A1I9LN99
AT3G54790	A8MQL6; Q8GWV5; Q9M1S1
AT3G08425	-
AT3G54800	B9DGX7
AT3G54810	Q9SV30; B9DHF1
AT3G54820	Q9SV31
AT3G54826	F4JE34
AT3G54830	Q9SV32; F4JE35
AT3G08430	-
AT3G08435	-
AT3G54840	A0A1I9LT70; A0A178VAL4; A8MRL2; Q9CB01; Q9SV33
AT3G54850	Q8VZ40; A0A178V9F4; Q9SV34
AT3G54860	F4JE40; Q94KJ7; Q9SV35
AT3G54870	Q9SV36; F4JE41; A9CP38; A0A1I9LP88; A0A178V659
AT3G54880	A0A178VJH4; Q9SV37
AT3G54890	A0A178VBT7; B9DHK2; Q01667; Q9C5R7; F4JE43; F4JE46; A8MS75
AT3G54900	Q84Y95; Q9SV38
AT3G54910	Q501B7
AT3G54920	Q9SV40; Q93Z04; A0A178VCI0
AT3G54925	B3H7I0
AT3G54930	A0A1I9LQQ0; Q9SV41
AT3G54940	Q3EAJ4; A0A178V5N1; A0A1I9LTT3; Q8VYS0; Q9SV42
AT3G54950	Q9SV43
AT3G54960	B3H5N9; Q8VX13; A0A178VF09; Q9SV44
AT3G54970	A0A1I9LQ69; A0A1I9LQ71; F4JF74; Q8VZN6; A0A1I9LQ68; A0A1I9LQ70; A0A178VHG7; A0A178VJ37
AT3G54980	Q9SV46
AT3G54990	Q9SV47; C0SVE8; Q6PV68
AT3G55000	Q9FQ25
AT3G55005	Q9FQ24; Q9SV48; Q9FQ23
AT3G55010	Q05728; Q9M2W5; Q9SV49
AT3G55020	A0A1I9LNZ8; A0A1I9LNZ9; F4JF82
AT3G55030	A0A178VAK6; Q9M2W3
AT3G55040	Q9M2W2; Q8GXL1
AT3G55050	Q9M2W1; Q94CL8; A0A178VJ66
AT3G55060	A0A1I9LPM7; Q9M2W0
AT3G55070	Q9M2V9; A8MQR3
AT3G55080	A0A1I9LQC8; Q67YE9; Q5PP40; A0A1I9LQC7
AT3G55090	Q9M2V7
AT3G55100	Q9M2V6
AT3G55110	A0A178VDI3; Q0WQX8; Q9M2V5
AT3G55120	P41088; Q9LF74; Q9LE13; Q9LF75; Q8W532
AT3G55130	Q9M3D6
AT3G55140	F4JF98; B3LF89
AT3G55150	Q8VY27; Q9M3D4
AT3G08450	-
AT3G55160	F4JFA0
AT3G55170	A0A1I9LSB4; Q9M3D2; Q0WT25
AT3G55180	A0A178VIY6; Q9M3D1
AT3G55190	Q9M3D0
AT3G55200	P0DKL6; A0A178VN71; Q9LD60; P0DKL4; Q570A5
AT3G55210	Q9M3C9; A0A178VAT9
AT3G55220	P0DKL6; Q570A5; A0A178VN71; P0DKL4; Q9LD60
AT3G55230	Q9M3C8; Q0WPQ6; A0A178V797
AT3G55240	Q9M3C7
AT3G08455	-
AT3G08460	-
AT3G08465	-
AT3G55250	Q9M3C6; A0A178VJJ9
AT3G55252	Q1G395
AT3G55254	B3H6P2
AT3G55260	Q0WUA8; A7WM73; A0A178VFV1; Q8LFK0; Q9M3C5
AT3G55270	Q9M3C4; Q940K2; Q9C5S1
AT3G55280	Q9M3C3; A8MS83
AT3G55290	Q94AL3; F4JFB9
AT3G55310	Q67Z59; A0A178VL98
AT3G08470	-
AT3G55320	Q8GX68; Q9M3B9
AT3G08475	-
AT3G55330	A0A178VEI8; P82538
AT3G55340	Q9M3B8; A0A178VII4
AT3G55350	Q9M2U3; A0A178V9W4
AT3G55360	Q9M2U2; A0A178VGP2
AT3G55370	Q3EAJ2; Q56YC1; F4IWU4; Q9XGU4; C0SVF0; Q9M2U1
AT3G55380	A0A178VE19; Q4TYZ6; B9DGG2; F4IWU7; P42747
AT3G08480	-
AT3G55390	A0A178VG10; Q9M2U0
AT3G55400	O23761; Q9ASP8; A8MRF2; Q9M2T9
AT3G55410	F4IWV2; A0A178VFK1
AT3G55420	Q9M2T7
AT3G55430	Q9M2T6
AT3G55440	P48491; A0A178VM57; Q9M2T5
AT3G55450	F4IWV6; Q8H186; Q84WH8; Q9M2T4; A0A178V6L5
AT3G55460	Q8L3X8; Q9FYA9; Q9M2T3
AT3G55470	A0A178VK75; Q9M2T2; A8MRW6
AT3G55480	Q9M2T1; Q93YS9; F4IWW1
AT3G55485	-
AT3G55490	Q6NNH6; A0A178VCB9
AT3G55500	Q9M2S9; Q680J2
AT3G55510	A0A1I9LQW4; Q0WVH0
AT3G55513	-
AT3G08495	-
AT3G55515	A0A178VBG8; Q6IM93
AT3G55520	A0A178VDC9; Q9M2S7
AT3G08515	-
AT3G55530	A0A178V9G1; Q9M2S6
AT3G08525	-
AT3G55540	Q9M2S5; A0A178VML8
AT3G55550	Q9M2S4
AT3G55560	A0A178VH84; Q9M2S3
AT3G55566	B3H5I7
AT3G55570	Q9M2S2
AT3G55580	Q9M2S1; A0A178VDU7
AT3G08535	-
AT3G55590	Q9M2S0
AT3G08545	-
AT3G55600	Q6NKR3
AT3G55605	A0A178V713; Q8LCT2
AT3G55610	A0A178VF78; P54888; B3H5E3; Q9M061
AT3G55620	Q9M060; A0A178VEN3
AT3G55630	A0A1I9LRU3; F4IWY4; Q93Y54; A0A178V748; A0A1I9LRU5; Q9M059; Q8W035; Q8LD20
AT3G55640	Q9M058; A0A1I9LSL0
AT3G55646	Q1G3N4; A0A178VC44
AT3G55650	Q9M057
AT3G55660	Q9M056; A0A1I9LLC8
AT3G55665	A8MR68
AT3G55670	Q9M055
AT3G55672	B3H595
AT3G55677	Q2V3P0
AT3G55680	Q9M054
AT3G55690	Q9M053
AT3G55700	W8Q6P0; Q8LAE5; Q9M052
AT3G55710	Q9M051; W8QNJ8
AT3G55720	A0A178VAJ7; Q9M050
AT3G55730	A0A178VFK6; Q9LDW5
AT3G08585	-
AT3G08595	-
AT3G55740	P92962; A0A178VLH0; F4IY22
AT3G55750	Q9M049; A0A178V8C0; P51422
AT3G55760	Q5EAH9; A0A178VES7
AT3G55770	A0A178VF73; F4IY33; B9DH94; F4IY27; Q9M047
AT3G55780	F4IY34
AT3G55790	A0A178V8M0; Q9M045
AT3G55800	P46283; Q940F8
AT3G55810	Q9M044
AT3G55820	Q9M043
AT3G55830	A0A178VJT0; Q9LY62
AT3G55840	Q2QCL4; Q9LY61; Q8LEJ2
AT3G55850	A0A1I9LN01; A0A1I9LMZ9; A0A1I9LN02; F4IY42; F4IY41
AT3G55860	Q6DYC4; A0A1I9LRQ2
AT3G55870	A0A1I9LMP0; A0A1I9LMN9; F4IY44
AT3G55880	A0A178VE92; F4IY46; Q8L7D8
AT3G55890	Q9LY56; A0A178VPQ0; Q0WPD7; A0A1I9LL83
AT3G55900	Q9LY55; F4IY48; Q6AWW4; A0A178VIC4
AT3G55910	A0A178VAN1; Q9LY54
AT3G55920	Q67YF7; Q9LY53; Q8L8W5; A0A178V8L6
AT3G55930	Q1PEF1
AT3G55935	-
AT3G55940	Q9LY51
AT3G55950	Q9LY50
AT3G55960	Q9LY49
AT3G55970	A0A178V764; A0A1I9LLN9; Q9LY48
AT3G55980	Q93ZS9; Q9LY47; A0A1I9LNJ4; Q570I5
AT3G55990	Q9LY46; A0A178VA79; Q8GWS5
AT3G56000	Q9LY45; Q84W06; W8PV95
AT3G56010	Q9LY44
AT3G56020	Q682R5; P35015; P62120
AT3G56030	Q9LY43; A0A178V9L0
AT3G56040	Q94B70; Q9LY42; F4IY62
AT3G08635	-
AT3G56050	Q9LYN6
AT3G56060	Q93ZK1
AT3G56070	A0A178VE97; Q9LYN4; Q38901; Q38867
AT3G56080	Q9LYN3; A0A1I9LPV2
AT3G56090	A0A178VBW1; Q8WHW6; Q0WWR6; Q9LYN2
AT3G56100	Q9LYN1; Q56WQ4; F4IY70; Q8GWS6; C0LGP9; A0A1I9LMR2
AT3G56110	Q9LYN0; A0A178VNJ7; Q940J2
AT3G56120	Q93YU6; Q9LYM9
AT3G56130	Q93W03; A0A178VL63; F4IY77; A0A1I9LT30; F4IY75; B9DFB7
AT3G56140	Q9LYM7; A0A1I9LNA2; Q8RWG3
AT3G56150	Q9LYM6; O49160
AT3G56160	A0A1I9LPI4; F4IZC4; A0A1I9LPI7; Q9LYM5; A0A1I9LPI5; A0A1I9LPI6
AT3G56170	A0A178VL52; F4IZC5; Q9LYM4; Q9LWC0
AT3G56180	A0A1I9LQL5; Q9LYM3
AT3G56190	A0A178VG00; F4IZC8; Q9SPE6; Q29Q46
AT3G56200	Q9LYM2; A0A178VG89
AT3G56210	Q6NNI1; F4IZD3
AT3G56220	A0A1I9LP66; A0A178VDE0; Q9LYM0
AT3G56230	Q9LYL9
AT3G56240	O82089; A0A178V898; A0A1I9LNC0
AT3G56250	A0A1I9LQ52; A0A1I9LQ51; A0A1I9LQ50; A0A178VM87; Q9LYL8
AT3G56260	Q9LYL7; Q6NLT4
AT3G56270	A0A178VK87; Q9LYL6
AT3G56290	A0A178V844; Q9LYL4
AT3G56300	A0A1I9LQR9; Q9LYL3
AT3G56310	Q8VXZ7; Q9LYL2; F4IZE4
AT3G08645	-
AT3G56320	Q7Y227; A0A178VAA5
AT3G56330	Q9LYL0
AT3G56340	A0A178VFW7; Q9LYK9
AT3G56350	A0A178VDJ0; Q9LYK8; Q84W70
AT3G56360	Q9LY04; A0A178VML1
AT3G56370	Q9LY03; Q8VYT7
AT3G56380	Q9LY02; A0A1I9LQB0; Q9FPR6
AT3G56390	Q1PEF0
AT3G56400	Q8LB71; Q9LY00
AT3G56408	-
AT3G56410	A0A1I9LLR2; F4IZF5; Q9LXZ9
AT3G56420	Q9LXZ8; A0A1I9LMG8
AT3G56430	Q9LXZ7
AT3G56440	A0A1I9LQF3; Q0WPK3; A0A1I9LQF2; Q9LXZ6
AT3G56450	Q9LXZ5
AT3G08655	-
AT3G56460	A0A178VE17; Q9LXZ4
AT3G08665	-
AT3G56470	Q9LXZ3
AT3G08675	-
AT3G56480	Q8GX05; Q9LXZ2; A0A178VAL6
AT3G08685	-
AT3G56490	A0A178VI77; Q9LXZ1; Q8GUN2
AT3G56500	Q9LXZ0; A0A178V981
AT3G56510	Q6NM71
AT3G56520	Q9LXY8
AT3G56530	A0A178V9P9; Q9LXY7
AT3G56540	Q9LXY6
AT3G56550	Q9LXY5
AT3G56560	Q9LXY4
AT3G56570	A0A1I9LQY7; Q9LXY3
AT3G56580	Q94AK4; Q9LXY2
AT3G56590	Q0WVC6; B3H693
AT3G56600	A0A1I9LRU9; Q9LXY0; Q0WMZ6
AT3G56610	Q9LXX9
AT3G56620	Q8LBH3; Q56ZQ0; Q9LXX8
AT3G56630	A0A178V9L2; Q9LXX7
AT3G56640	A0A178V8H8; Q9LXX6
AT3G56650	A0A178VDQ0; Q9LXX5; B9DH49; Q0WQH4
AT3G56660	A0A178VAE1; Q9LXX4
AT3G56670	Q9LXX3
AT3G56680	Q9LET8; A0A178VEX4
AT3G56690	Q9LET7; Q9LD58
AT3G56700	Q9LET6; B9TSP7; A0A1B1CQJ6
AT3G56710	A0A178VMX5; Q9LDH1
AT3G56720	F4J0R5; A0A1I9LQK1; A0A1I9LQJ9; A0A1I9LQK2; A1A6N0; C0Z252
AT3G56730	A0A1I9LLH3; Q9LET4; F4J0R7; F4J0R8; A0A1I9LLH0
AT3G56740	Q9LET3
AT3G56750	Q9LET2
AT3G08705	-
AT3G56760	Q9LET1
AT3G08715	-
AT3G08725	-
AT3G56770	Q9LET0; F4J0S3
AT3G56780	A0A1I9LP86; Q9LES9; A0A1I9LP85
AT3G56790	Q9LES8
AT3G56800	Q682T9; A0A178VP83; P25069; P0DH98; P0DH97
AT3G56810	A0A178V7U3; Q9LES7
AT3G56820	Q94EG4; A0A1I9LTQ1; A0A1I9LTQ0; A0A178VHY2
AT3G56830	Q9LES5; F4J0S9
AT3G56840	Q9LES4
AT3G56850	Q9LES3; Q9C5Q3; A0A178VIK4
AT3G56860	A0A178VCS6; Q94B29; C0Z2A5; Q9LES2
AT3G56870	Q5XVA1
AT3G08745	-
AT3G08755	-
AT3G56880	Q9LES0; A0A178VKH2
AT3G08765	-
AT3G08775	-
AT3G56890	Q9LER9
AT3G56891	A0A1I9LQU8; B3H6D0
AT3G56900	Q9LER8; Q8GWR1
AT3G56910	Q9LER7; Q94B31
AT3G08785	-
AT3G56920	Q9LER6; B3DN87
AT3G56930	Q8L5Y7; F4J0U7; Q9M1K5
AT3G56940	Q9M1K4; Q38892; F4J0U9; Q9M591; Q8GUS3; O04051; A0A178VH55
AT3G08795	-
AT3G56950	A0A178VEI5; F4J0V0; Q9M1K3
AT3G08805	-
AT3G56960	Q9M1K2
AT3G56970	Q9M1K1
AT3G56980	Q9M1K0
AT3G56990	Q9M1J9; A0A1I9LSC9; A0A1I9LSC8
AT3G57000	Q9M1J8
AT3G57010	Q9M456; Q94K89; A0A178VJ69; Q9M1J7
AT3G57020	B9DGX6; A0A178V5B5; Q9M1J6
AT3G57030	Q9M1J5; Q4V3D9; Q0WST9
AT3G08815	-
AT3G57040	O80366
AT3G08825	-
AT3G57050	B9DGA0; P53780; Q8VZL8; A0A1I9LQK7; F4J244; A0A1I9LQK6
AT3G57060	A0A1I9LM04; F4J245; F4J246
AT3G57062	Q0WRF0
AT3G08835	-
AT3G57070	A0A178VF27; Q9M1J3
AT3G57072	B3H6B2
AT3G57080	Q9M1J2
AT3G57090	Q9M1J1
AT3G08845	-
AT3G08855	-
AT3G57100	Q9M1J0
AT3G57110	Q9M1I9
AT3G57120	Q8VYG5
AT3G57130	F4J257; A0A178VNE2; Q9M1I7
AT3G57140	Q9M1I6
AT3G57150	Q9LD90; Q94AA2; Q42348; A0A178VJL1; C0SVF3
AT3G57157	-
AT3G57160	Q8LCL8; A0MF29; Q3EAI5; F4J261; A0A1I9LN23
AT3G57170	A0A1I9LS22; F4J262
AT3G57180	Q9M2M9; Q8W4I6
AT3G57190	A0A178VAE2; F4J264; Q8L7M2; Q9M2M8
AT3G57200	Q9M2M7; A0A1I9LRA6; Q5XV99
AT3G57210	Q6DYC1; Q5BPN1; Q9M2M6
AT3G57220	A0A178VAN3; Q9M2M5
AT3G57230	A0A178VIZ5; A2RVQ5; Q7XYY8; Q9M2M4; Q9FPP0; A0A1I9LNT5
AT3G57240	Q9M2M3; F4J270; Q9ZRI3
AT3G08875	-
AT3G57250	Q9M2M2
AT3G57260	P33157; Q8LD94; A0A1I9LMG6; Q9M2M1
AT3G57270	Q8LG04; A0MF30; Q9M2M0
AT3G57280	Q93V66; Q9M2L9; A0A178VHH9
AT3G57290	A0A178VL03; Q9M2L8; Q9M4T7; Q9C5Z3
AT3G57300	A0A1I9LT22; F4J277; Q8RXS6; Q9M2L7
AT3G57310	Q9M2L6; A0A178VIT0
AT3G57320	A0A178VLZ4; A8MQN7; Q9M2L5
AT3G57330	A0A178VG68; A0A1I9LPN7; Q9M2L4
AT3G57340	A0A178V8G5; Q9M2L3
AT3G08895	-
AT3G57350	F4J284; Q9M2L2
AT3G57360	Q6DBN3; A0A178VCV1
AT3G57370	Q1PEE4
AT3G57380	A0A1I9LPD4; F4J287
AT3G57390	Q9M2K8; Q8LAS6; A0A1I9LQD5; Q570M9; A0A178VAT6; Q1ECG0
AT3G08905	-
AT3G57400	Q9M2K7
AT3G08915	-
AT3G08925	-
AT3G57410	A0A1I9LLW3; A0A1I9LLW4; Q9LEA4; Q9SCN1; C0Z212; A0A1I9LLV6; O81645
AT3G57420	Q9SCN0; A0A178VGA6
AT3G57430	Q9SCM9; Q7Y211
AT3G57440	Q6DYC0; A0A178VA97; Q9SCM8
AT3G57450	A0A178VMJ2; Q9SCM7
AT3G57460	F4J3D6
AT3G08935	-
AT3G57465	-
AT3G57470	F4J3D7; F4J3D9; Q9SCM5; A0A1I9LPB3; A0A1I9LPB4; A0A1I9LPB2; B6EUA3
AT3G57480	Q9SCM4
AT3G57490	Q9SCM3
AT3G57500	Q5Q0C3
AT3G57510	O23147; A0A178V9D7
AT3G57520	Q94A08; Q3EAI3; Q9SCM1; F4J3E6; Q3EAI2; Q0WWI0
AT3G57530	Q6NLQ6; A0A1I9LQD4; Q9SCM0; A0A178VB71; Q0WWK2
AT3G57540	Q93YN8
AT3G57550	Q9M682; F4J3E9; Q9SCL8; A0A178V9C8
AT3G57560	Q9SCL7; Q8LA25; A0A178V7F4
AT3G57570	F4J3F3; F4J3F2
AT3G57580	Q6ICX6; Q9SVX3
AT3G57587	-
AT3G57590	F4J3F5; A0A1I9LPQ0; Q9SVX4
AT3G57600	Q9SVX5; Q0WUE4; A0A178VB25
AT3G57610	Q96529
AT3G57620	Q9SVX6
AT3G57630	Q0WWD8; Q6NKR6
AT3G57640	A0A178V627; Q9SVX8
AT3G57650	Q9SVX9; Q8LG50; Q147Q7
AT3G57660	A0A1I9LME9; Q9SVY0
AT3G57670	A0A178VLW5; Q84TI0; Q9SVY1
AT3G08965	-
AT3G57680	F4J3G5; A0A1I9LQZ2; Q9SVY2
AT3G57690	Q8S2W4; Q9SVY3; A0A178VFF5
AT3G57710	Q9SVY5; A0A178VAP6
AT3G57700	A0A178VI59; Q9SVY4
AT3G08975	-
AT3G57720	A0A178VIX1; A1A6H5
AT3G57730	A0A178V857; Q8VZF4
AT3G57740	A0A1I9LMF1; A0A178VE74; Q9SVY8
AT3G57750	Q8LGB6; Q9SVY9
AT3G57760	Q9SVZ0
AT3G57770	F4J3H7
AT3G57780	A0A1I9LP89; F4J3H8
AT3G08985	-
AT3G57785	A0A178VMU6; Q8L3S7
AT3G57787	-
AT3G57790	A0A178V9R2; F4J3I0
AT3G57800	Q8S3E2; Q9M2R7; A0A178V8Y3; Q9SVZ4; Q8LDR2; Q3EAI1; A0A178VB92
AT3G57810	A0A178VJL7; Q8LBZ4; Q682S6; Q67XW3; K9M8R2; Q9M2R6
AT3G57830	A0A1I9LQG7; Q9M2R4; A0A178VG07
AT3G57840	Q9M2R3
AT3G09015	-
AT3G57850	A0A178V9E6; Q9M2R2
AT3G57860	Q9M2R1; A0A178VGZ1
AT3G57870	Q0WMG8; A0A178V9H0; Q42551
AT3G57880	A0A178VJU5; Q9M2R0
AT3G57890	Q940S9; F4J4K6
AT3G57900	Q9M2Q8
AT3G57910	Q9M2Q7
AT3G57920	A0A178V850; Q9M2Q6
AT3G57930	Q9M2Q5; A0A178VIQ2
AT3G57940	Q0WNS9; F4J4L4; Q9M2Q4
AT3G57950	Q9M2Q3; A0A178VME4
AT3G57960	Q9M2Q2
AT3G57965	-
AT3G57970	Q9M2Q1
AT3G57980	F4J4L9; A0A1I9LTJ3
AT3G57990	A0A178VAM8; Q9M2P9
AT3G09025	-
AT3G58000	A0A178VK54; Q9M2P8
AT3G58010	Q9M2P7; A0A178V648
AT3G58020	Q8RXJ5
AT3G58030	Q8RXF2; A0A178VJH0
AT3G58040	A0A178VHN9; Q1ECQ0; Q9M2P4; Q0WNH5
AT3G58050	F4J4M9; A0A178VCR5; A0A1I9LLC5
AT3G58060	Q9M2P2; A0A178VEZ3
AT3G09045	-
AT3G09065	-
AT3G58070	Q9M2P1; A0A178V7D1; Q84WI0
AT3G58090	Q9M2N9; F4J4N3; Q8GYI9
AT3G09075	-
AT3G58100	A0A178V774; Q8LDH7; A0A1I9LSI7; Q9M2K6; Q1ECG5
AT3G58110	A0A178VKC5; Q9M2K5; F4J4N6
AT3G58120	A0A178VLL5; A0A1I9LST2; Q9M2K4
AT3G09095	-
AT3G58130	Q6DBN0
AT3G58140	Q9M2K2; Q94K73; A0A178V6D3
AT3G58150	F4J4P1; A0A178VEA8
AT3G58160	A0A1I9LTB4; Q9M2K0; Q39159; A0A1I9LTB3
AT3G58170	A0A178VJT4; Q541Y3; Q9M2J9
AT3G58180	Q94JW0; B9DGP9; Q9M2J8
AT3G58190	Q9M2J7; A0A178VM67; B7XG70; Q1LYU4
AT3G09105	-
AT3G58200	Q8LB51; Q9M2J6; A0A178VL65
AT3G58210	Q9M2J5; A0A178VBX1
AT3G58220	F4J4P8; Q940H9; A0A1I9LMA6; Q9M2J4; B3H671; A0A1I9LMA7; A0A178V776
AT3G58230	A0A178VFL9; Q9M2J3
AT3G58240	A0A178VJY4; Q9M2J2
AT3G58250	Q9M2J1
AT3G58260	Q9M2J0; A0A178V8R6
AT3G58270	Q9M2I9; A0A178VHW3
AT3G58280	Q9M2I8; A0A178VAX6; Q58FV5
AT3G58290	F4J5T5; A0A178VJS6; Q4PSK6; F4J5T4
AT3G58300	A0A178VGE3; Q9M2I6
AT3G58310	Q9M2I5; A0A178V7P3
AT3G58320	Q9M2I4
AT3G58330	Q9M2I3
AT3G09115	-
AT3G58340	Q9M2I2; A0A1I9LPK2
AT3G58350	D5K228; Q9M2I1
AT3G58360	Q9M2I0
AT3G58370	Q9M2H9
AT3G58380	Q9M2H8
AT3G58390	Q9M2H7
AT3G58400	Q9M2H6
AT3G58410	A0A178VIL2; Q9M2H5
AT3G58415	-
AT3G09125	-
AT3G58420	Q9M2H4; A0A178VE51
AT3G58430	F4J5U9; Q9M2H3
AT3G58440	Q9M2H2
AT3G58450	F4J5V2; A0A178VCF6; Q84JS5
AT3G58460	Q8L7A1; Q9M2H0; A0A178VGV9; F4J5V3; C0Z2U1; Q8LB17
AT3G58470	A0A178VA19; Q93Z55
AT3G58480	A0A178VKX9; Q9M2G8
AT3G58490	F4J5V8; Q9M2G7; A0A178VD76
AT3G58500	P48578; A0A178VCH8; Q9M2G6
AT3G58510	Q9ZS09; Q9M2G5; A0A178VH17; Q8LA13; Q8W4P3
AT3G58520	A0A178VFL0; F4J5W3; Q940L8
AT3G58530	Q940J3; Q8LB33; Q9M2G3
AT3G58540	Q9M2G2; A0A178VIP3
AT3G09135	-
AT3G58550	A0A178VAD0; Q9M2G1
AT3G58560	Q9M2G0; A0A178VHZ0; Q8W0Z9
AT3G58570	Q9M2F9; A0A178V7W0
AT3G58580	A0A178VDG0; Q9M2F8
AT3G58585	-
AT3G58590	A0A178VJV3; Q0WN01; Q9M2F7
AT3G58600	Q84WV7; A0A178V7S2
AT3G58610	Q05758; A0A178VHJ5; Q42559
AT3G58620	Q9M2F5; A0A1I9LLR7; A0A178VKQ3; Q84JR9
AT3G58630	Q9M2F4; A0A178VE47; Q8GXR6
AT3G58640	Q94AB2; A0A178VF38
AT3G58650	Q9M2F2; A0A178V740
AT3G58660	Q9LXT5
AT3G58670	A0A1I9LQA0; Q9LXT4
AT3G58680	Q9LXT3; A0A178V9J8
AT3G58690	F4J5Y7
AT3G58700	Q9LXT1; Q42195; A0A178UAV2; Q8LD47; P42796; P42794
AT3G58710	A0JQA0; A0A178V7K8; Q93WV5; Q8LGJ7; Q9LXT0
AT3G09145	-
AT3G58720	Q9LXS9; A0A178V9L9; A0A1I9LN14; A0A1I9LN13; F4J5Z1
AT3G58730	Q0WWD3; Q9LXS8; A0A178VBY5; Q9XGM1
AT3G58740	Q9LXS7
AT3G58750	A0A178VNV2; Q9LXS6; Q570I4
AT3G58760	A0A1I9LMD9; A0A1I9LMD5; F4J703; A0A1I9LMD6
AT3G58770	Q9LXS4
AT3G58780	A0A178VIJ3; P29381; A0A1I9LM26; F4J705; A0A1I9LM27; Q1PEE1; Q5XXJ3
AT3G09155	-
AT3G58790	Q56WW9; A0A178VC37; Q9LXS3; A0A1I9LQY8; Q8L4B0; W8QNJ3
AT3G58795	-
AT3G58800	Q9LXS2
AT3G58810	Q1H8W9; Q3EAH9; Q9LXS1
AT3G58820	Q9LXS0
AT3G58830	Q9LXR9; A0A1I9LQR3; Q84VV0; A0A178VLA6
AT3G58840	Q8L998; Q9LXR8
AT3G58850	Q9LXR7
AT3G58860	Q9LXR6
AT3G58875	-
AT3G58877	B3H7J4
AT3G58880	Q9LXR4
AT3G58890	Q9LXR3
AT3G58900	Q93ZX6; Q9LXR2; F4J721; C0Z399; A8MS17
AT3G58910	Q9LXR1
AT3G58920	Q9LXR0; A0A178VMJ4
AT3G58930	Q8GXW6; A0A1I9LNJ8; A0A1I9LNK0; Q9LXQ9
AT3G58940	Q9LXQ8
AT3G58950	Q9LXQ7
AT3G58960	Q9LYU0
AT3G58970	Q9LYT9; Q93ZD7; A0A178VB54
AT3G58980	C0Z3K9; Q9LYT8; P0C2G1
AT3G58990	Q9LYT7
AT3G59000	Q2V3N5; A4VCN0; Q9LYT6
AT3G59010	A0A178V613; Q9LYT5
AT3G59020	F4J737; B9DFH6; Q9LYT4; A0A178V9Q9; F4J738
AT3G59030	A0A178VKA2; A0A1I9LM17; Q9LYT3
AT3G59040	Q9LYT2; F4J741
AT3G09175	-
AT3G59050	Q8LE44; Q9LYT1
AT3G59060	Q84LH8; Q8S3D7; Q9LYT0; Q8RXG4; B9DH29
AT3G09185	-
AT3G59068	-
AT3G59070	Q9LYS9
AT3G59080	F4J750; Q9LYS8; A0A178V8Y2
AT3G59090	Q945Q2; A0A1I9LLB0; B9DFZ1; B9DGA1; A0A178VC02
AT3G59100	A0A1I9LPR4; Q9LYS6
AT3G59110	Q9LYS5; A0A178V642
AT3G59120	Q9LYS4; A0A1I9LSZ4
AT3G59130	F4J868
AT3G59140	Q9LYS2; F4J869
AT3G59150	F4J870; Q9LYS1; Q9LX56
AT3G59160	Q9LYS1; Q9LX55
AT3G59170	Q9LX54
AT3G59180	Q9LX53
AT3G09195	-
AT3G59190	Q9LX52; A0A1I9LSN3; Q1PED9
AT3G59200	A0A1I9LTT4; Q9LX51
AT3G59210	Q8GW80; Q9LX50
AT3G59220	Q9LX49; Q147N7
AT3G59230	Q9LX48
AT3G59240	Q9LX47
AT3G59245	-
AT3G59250	Q9LX46
AT3G59260	Q9LX45
AT3G59270	Q9LX44
AT3G59280	Q9LX43; A0A1I9LTR7; Q93VV9
AT3G59290	Q93YP4; Q9LX42
AT3G59295	-
AT3G59300	A0A1I9LM77; Q949V7; A0A1I9LM78
AT3G59310	Q948Q9; F4J890; A0A1I9LRQ6
AT3G59320	B9DH64; Q948Q8
AT3G59330	F4J893; A0A1I9LQ57; A0A1I9LQ58
AT3G59340	Q948Q7; A0A1I9LLD6
AT3G59350	A0A178VIN6; A0A1I9LM52; B9DHY7; Q940H1; A0A178VG53; A0A1I9LM53; B9DFG5; Q9LX36; A0A1I9LM51
AT3G59360	Q9C5H6; Q9LX35; A0A178VF70
AT3G59370	A0A178VGX3; Q9LX34
AT3G59380	Q9LX33; B3LF91; O65346
AT3G59390	F4J8A2
AT3G59400	Q8VZR4; Q9LX31; A0A178VB84
